listing_id,date
96033,2013-10-18
96033,2013-11-12
96033,2014-04-17
96033,2014-05-08
96033,2014-05-29
96033,2014-07-01
96033,2014-07-11
96033,2014-07-15
96033,2014-08-31
96033,2014-09-16
96033,2014-09-25
96033,2015-04-06
96033,2015-04-27
96033,2015-05-28
96033,2015-06-19
96033,2015-07-11
96033,2015-08-09
96033,2015-09-21
96033,2015-10-13
96033,2015-11-01
96033,2016-02-02
96033,2016-02-26
96033,2016-06-02
96033,2016-07-20
96033,2016-08-22
96033,2016-08-29
96033,2016-09-02
96033,2016-10-01
96033,2016-10-13
96033,2017-04-05
96033,2017-05-03
96033,2017-07-15
96033,2017-07-30
96033,2017-09-07
96033,2017-09-18
96033,2017-09-24
96033,2017-10-15
96033,2017-12-31
96033,2018-05-30
96033,2018-06-30
96033,2018-07-24
96033,2018-08-26
96033,2018-09-04
96033,2018-10-02
96033,2018-10-09
96033,2018-10-10
96033,2018-10-17
96033,2018-10-21
96033,2018-11-22
96033,2018-12-18
96033,2019-02-01
96033,2019-02-07
96033,2019-02-24
96033,2019-03-03
96033,2019-03-26
96033,2019-04-24
96033,2019-04-29
96033,2019-05-04
96033,2019-05-09
96033,2019-05-18
96033,2019-05-28
96033,2019-06-09
96033,2019-06-17
96033,2019-07-09
96033,2019-07-19
96033,2019-07-26
96033,2019-08-04
96033,2019-08-26
96033,2019-10-02
96033,2019-10-12
96033,2019-10-20
96033,2020-01-05
96033,2020-01-12
96033,2020-01-18
96033,2020-01-23
96033,2020-02-09
96033,2020-02-15
96033,2020-02-20
96033,2020-03-02
96033,2020-04-03
96033,2020-06-30
96033,2020-07-15
96033,2020-07-19
96033,2020-07-24
96033,2020-08-21
96033,2020-09-01
96033,2020-09-24
96033,2020-10-02
96033,2020-11-08
96033,2020-12-14
96033,2021-01-02
96033,2021-03-01
96033,2021-05-02
96033,2021-05-14
96033,2021-05-24
96033,2021-06-02
96033,2021-06-11
96033,2021-06-14
96033,2021-06-19
96033,2021-06-26
96033,2021-06-29
96033,2021-07-05
96033,2021-07-23
96033,2021-07-26
96033,2021-07-30
96033,2021-08-04
96033,2021-08-07
96033,2021-08-15
96033,2021-08-25
96033,2021-08-29
96033,2021-09-02
96033,2021-10-05
96033,2021-10-14
96033,2021-10-21
96033,2021-10-29
96033,2021-11-27
96033,2021-12-12
96033,2021-12-20
96033,2021-12-28
96033,2022-01-02
96033,2022-01-10
96033,2022-01-17
96033,2022-01-21
96033,2022-02-11
96033,2022-02-15
96033,2022-02-20
96033,2022-03-02
96033,2022-03-08
96033,2022-03-24
96033,2022-03-29
